insee_code,commune_name,department_code,region_code,display_name,is_arrondissement
29193,Plougourvest,29,53,Plougourvest (29),False
22217,Plougras,22,53,Plougras (22),False
22218,Plougrescant,22,53,Plougrescant (22),False
22219,Plouguenast-Langast,22,53,Plouguenast-Langast (22),False
29195,Plouguerneau,29,53,Plouguerneau (29),False
22220,Plouguernével,22,53,Plouguernével (22),False
22221,Plouguiel,22,53,Plouguiel (22),False
29196,Plouguin,29,53,Plouguin (29),False
22222,Plouha,22,53,Plouha (22),False
56168,Plouharnel,56,53,Plouharnel (56),False
29197,Plouhinec,29,53,Plouhinec (29),False
56169,Plouhinec,56,53,Plouhinec (56),False
29198,Plouider,29,53,Plouider (29),False
29199,Plouigneau,29,53,Plouigneau (29),False
22223,Plouisy,22,53,Plouisy (22),False
22224,Ploulec'h,22,53,Ploulec'h (22),False
22225,Ploumagoar,22,53,Ploumagoar (22),False
22226,Ploumilliau,22,53,Ploumilliau (22),False
29201,Ploumoguer,29,53,Ploumoguer (29),False
29021,Plounéour-Brignogan-plages,29,53,Plounéour-Brignogan-plages (29),False
29202,Plounéour-Ménez,29,53,Plounéour-Ménez (29),False
22227,Plounérin,22,53,Plounérin (22),False
29204,Plounéventer,29,53,Plounéventer (29),False
29206,Plounévez-Lochrist,29,53,Plounévez-Lochrist (29),False
22228,Plounévez-Moëdec,22,53,Plounévez-Moëdec (22),False
22229,Plounévez-Quintin,22,53,Plounévez-Quintin (22),False
29205,Plounévézel,29,53,Plounévézel (29),False
22231,Plourac'h,22,53,Plourac'h (22),False
56170,Plouray,56,53,Plouray (56),False
22232,Plourhan,22,53,Plourhan (22),False
29208,Plourin,29,53,Plourin (29),False
29207,Plourin-lès-Morlaix,29,53,Plourin-lès-Morlaix (29),False
22233,Plourivo,22,53,Plourivo (22),False
62660,Plouvain,62,32,Plouvain (62),False
22234,Plouvara,22,53,Plouvara (22),False
29209,Plouvien,29,53,Plouvien (29),False
29210,Plouvorn,29,53,Plouvorn (29),False
29211,Plouyé,29,53,Plouyé (29),False
29212,Plouzané,29,53,Plouzané (29),False
22235,Plouzélambre,22,53,Plouzélambre (22),False
29213,Plouzévédé,29,53,Plouzévédé (29),False
29181,Plouédern,29,53,Plouédern (29),False
29182,Plouégat-Guérand,29,53,Plouégat-Guérand (29),False
29183,Plouégat-Moysan,29,53,Plouégat-Moysan (29),False
29184,Plouénan,29,53,Plouénan (29),False
22214,Plouézec,22,53,Plouézec (22),False
22212,Plouëc-du-Trieux,22,53,Plouëc-du-Trieux (22),False
22213,Plouër-sur-Rance,22,53,Plouër-sur-Rance (22),False
29214,Plovan,29,53,Plovan (29),False
02609,Ployart-et-Vaurseine,02,32,Ployart-et-Vaurseine (02),False
29215,Plozévet,29,53,Plozévet (29),False
29166,Ploéven,29,53,Ploéven (29),False
56163,Ploërdut,56,53,Ploërdut (56),False
56165,Ploërmel,56,53,Ploërmel (56),False
22204,Ploëzal,22,53,Ploëzal (22),False
22236,Pludual,22,53,Pludual (22),False
22238,Plufur,22,53,Plufur (22),False
29216,Pluguffan,29,53,Pluguffan (29),False
56171,Pluherlin,56,53,Pluherlin (56),False
22239,Plumaudan,22,53,Plumaudan (22),False
22240,Plumaugat,22,53,Plumaugat (22),False
56172,Plumelec,56,53,Plumelec (56),False
56174,Plumelin,56,53,Plumelin (56),False
56175,Plumergat,56,53,Plumergat (56),False
14509,Plumetot,14,28,Plumetot (14),False
22241,Plumieux,22,53,Plumieux (22),False
39430,Plumont,39,27,Plumont (39),False
56173,Pluméliau-Bieuzy,56,53,Pluméliau-Bieuzy (56),False
56176,Pluneret,56,53,Pluneret (56),False
22242,Plurien,22,53,Plurien (22),False
22243,Plusquellec,22,53,Plusquellec (22),False
22244,Plussulien,22,53,Plussulien (22),False
21487,Pluvet,21,27,Pluvet (21),False
56177,Pluvigner,56,53,Pluvigner (56),False
22245,Pluzunet,22,53,Pluzunet (22),False
22203,Pluc-L'Hermitage,22,53,Pluc-L'Hermitage (22),False
22174,Pléboulle,22,53,Pléboulle (22),False
35221,Pléchâtel,35,53,Pléchâtel (35),False
22176,Plédran,22,53,Plédran (22),False
22175,Plédéliac,22,53,Plédéliac (22),False
22177,Pléguien,22,53,Pléguien (22),False
22178,Pléhédel,22,53,Pléhédel (22),False
35223,Plélan-le-Grand,35,53,Plélan-le-Grand (35),False
22180,Plélan-le-Petit,22,53,Plélan-le-Petit (22),False
22181,Plélauff,22,53,Plélauff (22),False
22182,Plélo,22,53,Plélo (22),False
22183,Plémet,22,53,Plémet (22),False
22184,Plémy,22,53,Plémy (22),False
22186,Pléneuf-Val-André,22,53,Pléneuf-Val-André (22),False
39427,Plénise,39,27,Plénise (39),False
39428,Plénisette,39,27,Plénisette (39),False
22185,Plénée-Jugon,22,53,Plénée-Jugon (22),False
22187,Plérin,22,53,Plérin (22),False
22189,Plésidy,22,53,Plésidy (22),False
22201,Plévenon,22,53,Plévenon (22),False
22202,Plévin,22,53,Plévin (22),False
51435,Pocancy,51,44,Pocancy (51),False
